Splunk Inc.,SPLK,Software,,
"Autodesk, Inc.",ADSK,Software,,
"ANSYS, Inc.",ANSS,Software,,
CDW Corporation,CDW,Computer Hardware,,
Match Group Inc.,MTCH,Consumer Digital Services,,
Adobe Incorporated,ADBE,Software,,
Apple Inc.,AAPL,Computer Hardware,,
ASML Holding N.V. (New York Registry Shares),ASML,Production Technology Equipment,,
"Cadence Design Systems, Inc.",CDNS,Software,,
"Applied Materials, Inc.",AMAT,Production Technology Equipment,,
"Baidu, Inc. (ADR)",BIDU,Consumer Digital Services,,
Cognizant Technology Solutions Corporation,CTSH,Computer Services,,
"Facebook, Inc. (Class A)",FB,Consumer Digital Services,,
Microsoft Corporation,MSFT,Software,,
NXP Semiconductors N.V.,NXPI,Semiconductors,,
QUALCOMM Incorporated,QCOM,Semiconductors,,
"Skyworks Solutions, Inc.",SWKS,Semiconductors,,
Texas Instruments Incorporated,TXN,Semiconductors,,
Lam Research Corporation,LRCX,Production Technology Equipment,,
"Synopsys, Inc.",SNPS,Software,,
"VeriSign, Inc.",VRSN,Computer Services,,
"Workday, Inc. (Class A)",WDAY,Software,,
"Analog Devices, Inc.",ADI,Semiconductors,,
Atlassian Corporation Plc (Class A),TEAM,Software,,
"DocuSign, Inc.",DOCU,Software,,
Intel Corporation,INTC,Semiconductors,,
KLA Corporation,KLAC,Production Technology Equipment,,
"Micron Technology, Inc.",MU,Semiconductors,,
Broadcom Inc.,AVGO,Semiconductors,,
Intuit Inc.,INTU,Software,,
Check Point Software Technologies Ltd.,CHKP,Software,,
"Maxim Integrated Products, Inc.",MXIM,Semiconductors,,
Microchip Technology Incorporated,MCHP,Semiconductors,,
"Okta, Inc.",OKTA,Computer Services,,
"Zoom Video Communications, Inc. (Class A)",ZM,Software,,
Marvell Technology Inc.,MRVL,Semiconductors,,
NVIDIA Corporation,NVDA,Semiconductors,,
"Advanced Micro Devices, Inc.",AMD,Semiconductors,,
"Xilinx, Inc.",XLNX,Semiconductors,,
Alphabet Inc. (Class A),GOOGL,Consumer Digital Services,,
Alphabet Inc. (Class C),GOOG,Consumer Digital Services,,
